Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year
Georgia,2017,4.45077467,9.18451786,0.590495169,64.69999695,0.820908785,-0.230505854,0.589631975,0.581127703,0.209639609,0.296396226,-0.054174274,0.674269736,1.775079966,0.39882496
Georgia,2018,4.659097195,9.229100227,0.617218554,64.5,0.7751441,-0.219247594,0.754853785,0.572953463,0.243778914,0.300006181,,,2.223053217,0.477142483
India,2014,4.424379349,8.591399193,0.621466637,58.59999847,0.809382915,-0.038100276,0.832141995,0.71102351,0.284582049,0.733619034,-0.292308986,-0.286168903,2.344814062,0.529975832
India,2015,4.342079163,8.65811348,0.61013329,58.90000153,0.777225256,-0.017724538,0.776434958,0.70067668,0.321829438,0.694716752,-0.260329306,-0.175081849,2.102304459,0.48416999
India,2016,4.179177284,8.715342522,0.613529384,59.29999924,0.820068777,0.033954486,0.764722109,0.69450444,0.345681459,0.732104599,-0.256837368,-0.13516134,1.74134922,0.416672736
India,2017,4.046111107,8.768212318,0.606767476,59.70000076,0.88585043,-0.053620495,0.780802786,0.682090998,0.317936778,0.8392784,-0.22030808,-0.099256828,1.65982759,0.410227895
India,2018,3.818068743,8.830280304,0.638051987,60.09999847,0.890443385,0.071806304,0.80526334,0.65728718,0.357458085,0.753280878,,,2.212352753,0.579442859
Hong Kong S.A.R. of China,2014,5.458050728,10.87406635,0.833558202,75.73136139,0.843082368,0.212896392,0.422959864,0.683968484,0.242867544,0.45782268,0.844463527,1.842694521,1.811950088,0.331977516
Hong Kong S.A.R. of China,2016,5.498420715,10.90435696,0.83207792,75.95350647,0.799743414,0.089243069,0.40281257,0.664092779,0.213114589,0.449610382,0.563998461,1.820220232,1.819238186,0.330865592
Hong Kong S.A.R. of China,2017,5.362474918,10.9340868,0.83106631,75.90731812,0.830657244,0.128979281,0.415810198,0.63953346,0.200593412,0.545040727,0.637072325,1.849663734,1.784559488,0.33278653
Armenia,2014,4.453083038,8.983579636,0.738763511,65.83999634,0.506487131,-0.205098018,0.920390487,0.580959857,0.403984338,0.214914635,-0.429609358,-0.218632609,2.137263775,0.479951471
Armenia,2015,4.34831953,9.011393547,0.722551048,66,0.551026642,-0.189388379,0.901462197,0.594142795,0.43794772,0.170927867,-0.394301742,-0.210141867,2.237643719,0.514599681
Armenia,2016,4.325471878,9.010698318,0.709218323,66.30000305,0.610986948,-0.157248631,0.921421051,0.593600273,0.437227815,0.184713036,-0.620787561,-0.147838444,2.126364231,0.491591275
Armenia,2017,4.287736416,9.081094742,0.697924912,66.59999847,0.613697052,-0.133957878,0.86468333,0.625013828,0.43714875,0.246900991,-0.633139133,-0.132938728,2.325378895,0.54233253
Armenia,2018,5.062448502,9.119423866,0.814449012,66.90000153,0.807643652,-0.149108693,0.676826358,0.581487715,0.454840273,0.670827627,,,2.102110624,0.415235966
Philippines,2014,5.312550068,8.792685509,0.813300192,61.40000153,0.902185738,-0.020396445,0.787219465,0.813341916,0.334036529,0.687083423,-0.27727744,-0.149540201,2.692250013,0.506771684
Philippines,2015,5.547489166,8.835586548,0.853588581,61.59999847,0.911533594,-0.056149431,0.755191565,0.805238485,0.350587666,0.668413937,-0.354305804,-0.181768388,2.669912815,0.481283098
Philippines,2016,5.430832863,8.886437416,0.821298718,61.70000076,0.907595754,-0.076165579,0.791962206,0.820969462,0.290232718,0.771626711,-0.608859897,-0.217781767,2.470617771,0.454924285
Philippines,2017,5.594270229,8.935796738,0.851028562,61.79999924,0.925703108,-0.146240324,0.711165547,0.768981457,0.340621501,0.83773005,-0.577247143,-0.233417705,2.597185135,0.464258075
Philippines,2018,5.869172573,8.985702515,0.845803261,61.90000153,0.917808175,-0.113129161,0.726483345,0.772846103,0.393481076,0.802007139,,,2.700257778,0.460074693
Sri Lanka,2014,4.267932892,9.273351669,0.804798007,66.5,0.867936432,0.293445289,0.790626824,0.842814744,0.186895683,0.772360444,-0.498832524,-0.140314847,1.978820205,0.463648379
